,Temperature
1979-01-01,1.5684189214939046
1979-01-02,1.9049824040110543
1979-01-03,2.264883646150917
1979-01-04,1.4284310689786608
1979-01-05,0.6277733779535062
1979-01-06,1.899696908346037
1979-01-07,2.4705445824599845
1979-01-08,0.5447447241806422
1979-01-09,1.2247627072218013
1979-01-10,1.4884241615853675
1979-01-11,1.5283508300781268
1979-01-12,3.348791355040019
1979-01-13,4.014754132526679
1979-01-14,6.575135766006101
1979-01-15,4.221410983946267
1979-01-16,6.895295678115474
1979-01-17,2.5274442347084634
1979-01-18,2.4216889172065574
1979-01-19,2.8633683367473353
1979-01-20,2.7090967690072425
1979-01-21,2.8045847822980203
1979-01-22,-0.9554547565739338
1979-01-23,0.3046078565644077
1979-01-24,0.05833248975800309
1979-01-25,4.8597717285156286
1979-01-26,3.0478277439024417
1979-01-27,2.94040363590892
1979-01-28,3.722868384384528
1979-01-29,0.5183246891673026
1979-01-30,-2.022057510003812
1979-01-31,-2.0998698909108224
1979-02-01,-1.2818819371665402
1979-02-02,-2.456463325314406
1979-02-03,-2.535693657107469
1979-02-04,-3.7351148651867376
1979-02-05,1.5861109291634943
1979-02-06,1.7367717463795742
1979-02-07,-0.5777885623094505
1979-02-08,0.5074723406535835
1979-02-09,0.9061882205125773
1979-02-10,1.00211241187119
1979-02-11,1.5772615758384188
1979-02-12,0.7193238793349863
1979-02-13,2.1823224323551855
1979-02-14,4.416267208936738
1979-02-15,4.498155547351372
1979-02-16,2.0854142351848353
1979-02-17,3.8602897830125773
1979-02-18,4.908742020769816
1979-02-19,2.8768213783822425
1979-02-20,-3.4251917397103657
1979-02-21,-2.6780283858136418
1979-02-22,-2.1377444383574673
1979-02-23,-1.6448341927877266
1979-02-24,0.10544344274009454
1979-02-25,-2.3221621629668423
1979-02-26,-2.3390949528391776
1979-02-27,-1.81131651343369
1979-02-28,-1.7769857267054103
1979-03-01,-0.7891123701886418
1979-03-02,0.6121960151486316
1979-03-03,2.7160197932545724
1979-03-04,0.5203023770960389
1979-03-05,3.767127060308688
1979-03-06,0.2081365817930667
1979-03-07,-3.703605093607086
1979-03-08,-8.041448081411966
1979-03-09,-6.175962122475228
1979-03-10,-3.876138082364708
1979-03-11,-3.1218819967130322
1979-03-12,-2.9829019686070843
1979-03-13,-2.7760545684070106
1979-03-14,-2.019216397913487
1979-03-15,2.7846873213605186
1979-03-16,2.913694800400151
1979-03-17,-2.0615063178829995
1979-03-18,-0.4529746451028931
1979-03-19,-2.9050985196741586
1979-03-20,-3.9922708650914593
1979-03-21,-2.2150804473132606
1979-03-22,-1.2346169076314766
1979-03-23,0.49911350157202605
1979-03-24,0.8195532822027438
1979-03-25,-0.7430084972846807
1979-03-26,-0.7957503155964183
1979-03-27,-1.7833683665205786
1979-03-28,-0.10708692597179947
1979-03-29,1.0677601884051064
1979-03-30,-0.3653661216177575
1979-03-31,-1.4878376286204258
1979-04-01,-2.399589724657009
1979-04-02,-0.4745438738567067
1979-04-03,0.2539412335651683
1979-04-04,-2.588379650581171
1979-04-05,-0.9750604396913118
1979-04-06,-1.3058598215987054
1979-04-07,-0.06445759098704329
1979-04-08,1.7063970798399382
1979-04-09,2.0869490460651683
1979-04-10,2.2732179223037363
1979-04-11,5.7449497129859
1979-04-12,3.9300425459698936
1979-04-13,4.756690792921113
1979-04-14,2.7910900581173763
1979-04-15,-0.207489013671875
1979-04-16,-0.07508068549923763
1979-04-17,-0.3871199445026683
1979-04-18,1.3494575314405495
1979-04-19,-3.9296205101943613
1979-04-20,-2.972156059451219
1979-04-21,-1.080161490091463
1979-04-22,-0.1801192120807933
1979-04-23,0.6055878429878057
1979-04-24,3.4161533262671497
1979-04-25,2.1023001321932178
1979-04-26,3.082795678115474
1979-04-27,3.088962461890244
1979-04-28,5.573316620617376
1979-04-29,-0.24995906178544303
1979-04-30,-0.22834145150534013
1979-05-01,-5.150792563833843
1979-05-02,-4.708950135766006
1979-05-03,-6.1172381145198145
1979-05-04,-4.8219492842511436
1979-05-05,-3.1945011790205804
1979-05-06,-3.112658989138719
