,Temperature
1984-01-01,-1.734344482421875
1984-01-02,-1.49200439453125
1984-01-03,-1.763885498046875
1984-01-04,-1.914306640625
1984-01-05,-1.801727294921875
1984-01-06,4.168701171875
1984-01-07,-0.754119873046875
1984-01-08,-0.709716796875
1984-01-09,-0.026824951171875
1984-01-10,-0.384002685546875
1984-01-11,-0.666473388671875
1984-01-12,-1.325775146484375
1984-01-13,4.48406982421875
1984-01-14,1.565643310546875
1984-01-15,0.1890869140625
1984-01-16,1.93243408203125
1984-01-17,-0.0985107421875
1984-01-18,-0.6240234375
1984-01-19,1.5753173828125
1984-01-20,2.158416748046875
1984-01-21,-1.19512939453125
1984-01-22,1.356964111328125
1984-01-23,2.59222412109375
1984-01-24,0.9163818359375
1984-01-25,2.288116455078125
1984-01-26,0.9329833984375
1984-01-27,-2.28729248046875
1984-01-28,-1.1826171875
1984-01-29,-2.1566162109375
1984-01-30,-1.55084228515625
1984-01-31,-2.3048095703125
1984-02-01,0.98193359375
1984-02-02,2.68524169921875
1984-02-03,5.870574951171875
1984-02-04,3.3509521484375
1984-02-05,-1.5009765625
1984-02-06,-2.67578125
1984-02-07,-2.29254150390625
1984-02-08,-0.68359375
1984-02-09,-0.7296142578125
1984-02-10,-1.71484375
1984-02-11,-0.712799072265625
1984-02-12,0.7440185546875
1984-02-13,-0.0355224609375
1984-02-14,-1.0987548828125
1984-02-15,0.48248291015625
1984-02-16,0.99896240234375
1984-02-17,2.251922607421875
1984-02-18,2.67681884765625
1984-02-19,7.52532958984375
1984-02-20,1.373046875
1984-02-21,-5.05804443359375
1984-02-22,-3.0897216796875
1984-02-23,-3.95556640625
1984-02-24,-4.29913330078125
1984-02-25,-4.351806640625
1984-02-26,-1.36566162109375
1984-02-27,0.13739013671875
1984-02-28,1.9815673828125
1984-02-29,2.332183837890625
1984-03-01,-4.4390869140625
1984-03-02,-4.953155517578125
1984-03-03,-5.527984619140625
1984-03-04,-4.342376708984375
1984-03-05,-5.097259521484375
1984-03-06,-3.852264404296875
1984-03-07,-4.692108154296875
1984-03-08,-0.295806884765625
1984-03-09,-0.865814208984375
1984-03-10,-2.72479248046875
1984-03-11,0.9296875
1984-03-12,-0.995147705078125
1984-03-13,-0.61297607421875
1984-03-14,1.064910888671875
1984-03-15,1.07196044921875
1984-03-16,1.528778076171875
1984-03-17,0.467132568359375
1984-03-18,1.933380126953125
1984-03-19,-2.144989013671875
1984-03-20,-2.142181396484375
1984-03-21,-1.177642822265625
1984-03-22,0.471649169921875
1984-03-23,0.763275146484375
1984-03-24,3.223907470703125
1984-03-25,5.09771728515625
